w1,w2,r
giải_thoát,thi_hành,ANT
kìm_giữ,trói_buộc,SYN
gây_lộn,gây_sự,SYN
lầm,nhầm,SYN
chuyển_dạ,trở_dạ,SYN
đồng_ý,từ_chối,ANT
lẩn_tránh,áp,ANT
mong_ước,mơ_ước,SYN
trét,bít,SYN
lăng_nhục,sỉ_nhục,SYN
cư_xử,bạc_đãi,ANT
ngoác,ngoạc,SYN
thòi,tòi,SYN
thừa_nhận,phủ_nhận,ANT
rụt,thò,ANT
hỏng_hóc,hỏng,SYN
áp_giải,dẫn_giải,SYN
bộc_lộ,thổ_lộ,SYN
trù,trù_dập,SYN
cản_ngăn,ngăn_cản,SYN
lật_lọng,tráo_trở,SYN
khinh_nhờn,kính_trọng,ANT
bứt,vặt,SYN
ghê_tởm,kinh_tởm,SYN
bác,chấp_nhận,ANT
nhận,loại_bỏ,ANT
kết_thúc,bảo_tồn,ANT
quịt,quỵt,SYN
tiệt_trừ,diệt_trừ,SYN
phá_sản,vỡ_nợ,SYN
chựng,sựng,SYN
bao_vây,giải_vây,ANT
chiến_thắng,thất_bại,ANT
phá_bỏ,giữ,ANT
phụ_trách,đảm_trách,SYN
nhả,cầm,ANT
chính_thức_hoá,huỷ_bỏ,ANT
bo,boa,SYN
ăn,chén,SYN
vơ,vớ,SYN
nản_lòng,kiên_định,ANT
phản_kháng,khuất_phục,ANT
giở_mặt,lật_lọng,SYN
bớt,thêm,ANT
li_biệt,sum_họp,ANT
thương,xót_thương,SYN
tát,vả,SYN
phung_phí,sẻn,ANT
giải_tán,tập_trung,ANT
viện,vin,SYN
chắn,chặn,SYN
giả_mạo,mạo,SYN
quên_béng,quên_khuấy,SYN
báo_ơn,báo_thù,ANT
mở,tắt,ANT
giảm,vọt,ANT
hạ,tăng,ANT
buồn,vui,ANT
dịt,rịt,SYN
ngốn_ngấu,ngấu_nghiến,SYN
tẩm_bổ,bồi_bổ,SYN
lẳng,quẳng,SYN
dao_động,sờn,SYN
chiến_bại,thắng_lợi,ANT
dời,yên_vị,ANT
chấp_nhận,từ_chối,ANT
chú_trọng,khinh_thường,ANT
mơ_ước,ước_mong,SYN
phung_phí,tiết_kiệm,ANT
mất,chào_đời,ANT
tán_đồng,từ_chối,ANT
nấn_ná,vội_vã,ANT
cuốn,lôi_cuốn,SYN
tu_sửa,tu_chỉnh,SYN
thờ_ơ,hờ_hững,SYN
ngăn_cản,bằng_lòng,ANT
quờ_quạng,sờ_soạng,SYN
bội_thu,thất_bát,ANT
khuỵ,quỵ,SYN
chấm_dứt,tiếp_tục,ANT
đẽo_gọt,trau_chuốt,SYN
trọng,coi_thường,ANT
chần_chừ,đắn_đo,SYN
thanh_trừng,phục_chức,ANT
mong,thất_vọng,ANT
thắng,thua,ANT
coi_thường,coi_trọng,ANT
đẽo_gọt,gọt_giũa,SYN
khuất_núi,chào_đời,ANT
kết_thúc,mở_đầu,ANT
khích_lệ,kiềm_chế,ANT
bỏ_qua,cho_qua,SYN
phân_ly,đoàn_tụ,ANT
bán,sắm,ANT
ngã,bổ,SYN
thẩm_tra,kiểm_tra,SYN
tụ_hội,tụ_họp,SYN
trụt,sụt,SYN
van_lạy,van_vái,SYN
bằng_lòng,từ_chối,ANT
